player_name,position,team_display,opponent,prop_type,sportsbook,line,price,model_prediction,sigma,p_win_pct,edge_pct,roi_pct,kelly_pct,stake,recommendation
Gardner Minshew,RB,CHI,CIN,receiving_yards,SimBook,30.0,-110,105.82608851323766,42.65000848486248,96.2,43.85,83.71,2.0,20.0,BET
Rome Odunze,WR,CHI,CIN,receiving_yards,SimBook,30.0,-110,105.82608851323766,42.65000848486248,96.2,43.85,83.71,2.0,20.0,BET
Zamir White,TE,CHI,CIN,receiving_yards,SimBook,30.0,-110,105.82608851323766,42.65000848486248,96.2,43.85,83.71,2.0,20.0,BET
David Montgomery,RB,DET,DEN,rushing_yards,DraftKings,50.5,-109,106.7119082561141,32.53747405023814,95.8,43.64,83.68,2.0,20.0,BET
Raheem Mostert,FLEX,CLE,DAL,receiving_yards,SimBook,30.0,-110,104.7219125112075,42.65000848486248,96.0,43.63,83.29,2.0,20.0,BET
CeeDee Lamb,WR,DAL,CLE,receiving_yards,SimBook,30.0,-110,104.7219125112075,42.65000848486248,96.0,43.63,83.29,2.0,20.0,BET
Dallas Goedert,TE,DAL,CLE,receiving_yards,SimBook,30.0,-110,104.7219125112075,42.65000848486248,96.0,43.63,83.29,2.0,20.0,BET
Marvin Mclain,TE,DAL,CLE,receiving_yards,SimBook,30.0,-110,104.7219125112075,42.65000848486248,96.0,43.63,83.29,2.0,20.0,BET
Rico Dowdle,RB,DAL,CLE,receiving_yards,SimBook,30.0,-110,104.7219125112075,42.65000848486248,96.0,43.63,83.29,2.0,20.0,BET
Marvin Harrison Jr,WR,ARI,WAS,receiving_yards,SimBook,30.0,-110,104.60869147521964,42.65000848486248,96.0,43.61,83.25,2.0,20.0,BET
Austin Ekelerer,RB,LAC,LAR,receiving_yards,SimBook,30.0,-110,104.54174901280302,42.65000848486248,96.0,43.59,83.22,2.0,20.0,BET
Blake Corum,RB,LAR,LAC,receiving_yards,SimBook,30.0,-110,104.4078640879698,42.65000848486248,95.9,43.57,83.17,2.0,20.0,BET
Cooper Kupp,WR,LAR,LAC,receiving_yards,SimBook,30.0,-110,104.4078640879698,42.65000848486248,95.9,43.57,83.17,2.0,20.0,BET
Kyren Williams,RB,LAR,LAC,receiving_yards,SimBook,30.0,-110,104.4078640879698,42.65000848486248,95.9,43.57,83.17,2.0,20.0,BET
Brian Robinson,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Brock Purdy,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Darren Waller,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Derek Carr,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
D.J. Moore,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Evan McPherson,TE,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Frank Gore,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Jacoby Brisset,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
James Conner,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
James White,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Jaxon Campbell,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Jaxson Campbell,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Jermiahm Pitts,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Jonnu Smith,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Jordan Reed,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Julius Jones,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Justin Fields,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Kalen Haskamp,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Leonard Fournette,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Logan Thomas,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Matthew Stafford,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Mike Gesicki,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Mike Hilton,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Mike Jackson,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Mike Williams,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Noah Fant,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Patrick Queen,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Peyton Barber,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Rashod White,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Robert Tony,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Ryan Tannehill,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Sam Howell,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Sam LaPorta,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Todd Gurley,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Trey Lance,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Tyler Allgers,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Tyler Boyd,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Zavier Pascal,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Zay Pascal,FLEX,WAS,ARI,receiving_yards,SimBook,30.0,-110,101.9309929785552,42.65000848486248,95.4,43.03,82.16,2.0,20.0,BET
Lamar Jackson,QB,BAL,ATL,rushing_yards,DraftKings,34.5,-111,90.0,32.53747405023814,95.6,42.99,81.72,2.0,20.0,BET
Jaylen Warren,RB,PIT,SEA,receiving_yards,SimBook,30.0,-110,100.93386034255195,42.65000848486248,95.2,42.81,81.72,2.0,20.0,BET
Tyler Lockett,WR,SEA,PIT,receiving_yards,SimBook,30.0,-110,100.86691788013533,42.65000848486248,95.2,42.79,81.69,2.0,20.0,BET
Dalvin Cook,RB,NYJ,PHI,receiving_yards,SimBook,30.0,-110,100.59914803046888,42.65000848486248,95.1,42.73,81.57,2.0,20.0,BET
Dalwin Cook,RB,NYJ,PHI,receiving_yards,SimBook,30.0,-110,100.59914803046888,42.65000848486248,95.1,42.73,81.57,2.0,20.0,BET
Davante Adams,WR,NYJ,PHI,receiving_yards,SimBook,30.0,-110,100.59914803046888,42.65000848486248,95.1,42.73,81.57,2.0,20.0,BET
Brandon Aiyuk,WR,PHI,NYJ,receiving_yards,SimBook,30.0,-110,99.99666586871939,42.65000848486248,95.0,42.58,81.29,2.0,20.0,BET
Chigoz Parrish,TE,PHI,NYJ,receiving_yards,SimBook,30.0,-110,99.99666586871939,42.65000848486248,95.0,42.58,81.29,2.0,20.0,BET
Dalvin Caldwell,TE,PHI,NYJ,receiving_yards,SimBook,30.0,-110,99.99666586871939,42.65000848486248,95.0,42.58,81.29,2.0,20.0,BET
DeVonta Smith,TE,PHI,NYJ,receiving_yards,SimBook,30.0,-110,99.99666586871939,42.65000848486248,95.0,42.58,81.29,2.0,20.0,BET
Isaiah Pacheco,TE,PHI,NYJ,receiving_yards,SimBook,30.0,-110,99.99666586871939,42.65000848486248,95.0,42.58,81.29,2.0,20.0,BET
Jaylen Waddle,FLEX,PHI,NYJ,receiving_yards,SimBook,30.0,-110,99.99666586871939,42.65000848486248,95.0,42.58,81.29,2.0,20.0,BET
J.K. Dobbins,FLEX,PHI,NYJ,receiving_yards,SimBook,30.0,-110,99.99666586871939,42.65000848486248,95.0,42.58,81.29,2.0,20.0,BET
Joe Mixon,RB,PHI,NYJ,receiving_yards,SimBook,30.0,-110,99.99666586871939,42.65000848486248,95.0,42.58,81.29,2.0,20.0,BET
Kenneth Gainwell,RB,PHI,NYJ,receiving_yards,SimBook,30.0,-110,99.99666586871939,42.65000848486248,95.0,42.58,81.29,2.0,20.0,BET
Khalil Mack,TE,PHI,NYJ,receiving_yards,SimBook,30.0,-110,99.99666586871939,42.65000848486248,95.0,42.58,81.29,2.0,20.0,BET
Saquon Barkley,TE,PHI,NYJ,receiving_yards,SimBook,30.0,-110,99.99666586871939,42.65000848486248,95.0,42.58,81.29,2.0,20.0,BET
Jonathan Taylor,RB,IND,HOU,receiving_yards,SimBook,30.0,-110,95.03515858592421,42.65000848486248,93.6,41.25,78.76,2.0,20.0,BET
Devin Singletary,RB,NYG,NO,receiving_yards,SimBook,30.0,-110,94.9682161235076,42.65000848486248,93.6,41.23,78.72,2.0,20.0,BET
Malik Nabers,WR,NYG,NO,receiving_yards,SimBook,30.0,-110,94.9682161235076,42.65000848486248,93.6,41.23,78.72,2.0,20.0,BET
Brock Bowers,TE,LV,MIA,receiving_yards,SimBook,30.0,-110,94.90127366109098,42.65000848486248,93.6,41.22,78.68,2.0,20.0,BET
Marcus Mariota,RB,LV,MIA,receiving_yards,SimBook,30.0,-110,94.90127366109098,42.65000848486248,93.6,41.22,78.68,2.0,20.0,BET
Zay Jones,RB,LV,MIA,receiving_yards,SimBook,30.0,-110,94.90127366109098,42.65000848486248,93.6,41.22,78.68,2.0,20.0,BET
Jonnuu Smith,TE,NE,MIN,receiving_yards,SimBook,30.0,-110,94.90127366109098,42.65000848486248,93.6,41.22,78.68,2.0,20.0,BET
J.T. Hockenson,TE,NE,MIN,receiving_yards,SimBook,30.0,-110,94.90127366109098,42.65000848486248,93.6,41.22,78.68,2.0,20.0,BET
T.J. Hockenson,TE,NE,MIN,receiving_yards,SimBook,30.0,-110,94.90127366109098,42.65000848486248,93.6,41.22,78.68,2.0,20.0,BET
David Njoku,TE,BAL,ATL,receiving_yards,SimBook,30.0,-110,94.83433119867438,42.65000848486248,93.6,41.2,78.65,2.0,20.0,BET
Derrick Henry,RB,BAL,ATL,receiving_yards,SimBook,30.0,-110,94.83433119867438,42.65000848486248,93.6,41.2,78.65,2.0,20.0,BET
Mark Andrews,TE,BAL,ATL,receiving_yards,SimBook,30.0,-110,94.83433119867438,42.65000848486248,93.6,41.2,78.65,2.0,20.0,BET
Chris Godwin,WR,GB,DET,receiving_yards,SimBook,30.0,-110,94.83433119867438,42.65000848486248,93.6,41.2,78.65,2.0,20.0,BET
Emanuel Wilson,RB,GB,DET,receiving_yards,SimBook,30.0,-110,94.83433119867438,42.65000848486248,93.6,41.2,78.65,2.0,20.0,BET
Javonte Smith,WR,GB,DET,receiving_yards,SimBook,30.0,-110,94.83433119867438,42.65000848486248,93.6,41.2,78.65,2.0,20.0,BET
Devon Achane,RB,MIA,LV,receiving_yards,SimBook,30.0,-110,94.83433119867438,42.65000848486248,93.6,41.2,78.65,2.0,20.0,BET
Keaton Mitchell,RB,MIA,LV,receiving_yards,SimBook,30.0,-110,94.83433119867438,42.65000848486248,93.6,41.2,78.65,2.0,20.0,BET
Ollie Gordon II,TE,MIA,LV,receiving_yards,SimBook,30.0,-110,94.83433119867438,42.65000848486248,93.6,41.2,78.65,2.0,20.0,BET
Tyreek Hill,WR,MIA,LV,receiving_yards,SimBook,30.0,-110,94.83433119867438,42.65000848486248,93.6,41.2,78.65,2.0,20.0,BET
Alexander Mattison,TE,ATL,BAL,receiving_yards,SimBook,30.0,-110,94.63350381142453,42.65000848486248,93.5,41.14,78.53,2.0,20.0,BET
Bijan Robinson,RB,ATL,BAL,receiving_yards,SimBook,30.0,-110,94.63350381142453,42.65000848486248,93.5,41.14,78.53,2.0,20.0,BET
Breece Hall,RB,ATL,BAL,receiving_yards,SimBook,30.0,-110,94.63350381142453,42.65000848486248,93.5,41.14,78.53,2.0,20.0,BET
Rachaad White,TE,ATL,BAL,receiving_yards,SimBook,30.0,-110,94.63350381142453,42.65000848486248,93.5,41.14,78.53,2.0,20.0,BET
Tyler Allgeier,RB,ATL,BAL,receiving_yards,SimBook,30.0,-110,94.63350381142453,42.65000848486248,93.5,41.14,78.53,2.0,20.0,BET
Drake London,RB,NO,NYG,receiving_yards,SimBook,30.0,-110,94.56656134900793,42.65000848486248,93.5,41.12,78.49,2.0,20.0,BET
JuJu Smith,TE,NO,NYG,receiving_yards,SimBook,30.0,-110,94.56656134900793,42.65000848486248,93.5,41.12,78.49,2.0,20.0,BET
Michael Pittman,TE,NO,NYG,receiving_yards,SimBook,30.0,-110,94.56656134900793,42.65000848486248,93.5,41.12,78.49,2.0,20.0,BET
Rashod Penny,RB,NO,NYG,receiving_yards,SimBook,30.0,-110,94.56656134900793,42.65000848486248,93.5,41.12,78.49,2.0,20.0,BET
Zach Pascal,RB,NO,NYG,receiving_yards,SimBook,30.0,-110,94.56656134900793,42.65000848486248,93.5,41.12,78.49,2.0,20.0,BET
Alvin Kamara,RB,MIN,NE,receiving_yards,SimBook,30.0,-110,94.4326764241747,42.65000848486248,93.5,41.08,78.42,2.0,20.0,BET
Cam Akers,RB,MIN,NE,receiving_yards,SimBook,30.0,-110,94.4326764241747,42.65000848486248,93.5,41.08,78.42,2.0,20.0,BET
C.J. Stroud,RB,MIN,NE,receiving_yards,SimBook,30.0,-110,94.4326764241747,42.65000848486248,93.5,41.08,78.42,2.0,20.0,BET
Cole Kmet,TE,MIN,NE,receiving_yards,SimBook,30.0,-110,94.4326764241747,42.65000848486248,93.5,41.08,78.42,2.0,20.0,BET
Justin Jefferson,WR,MIN,NE,receiving_yards,SimBook,30.0,-110,94.4326764241747,42.65000848486248,93.5,41.08,78.42,2.0,20.0,BET
Khalil Herbert,RB,MIN,NE,receiving_yards,SimBook,30.0,-110,94.4326764241747,42.65000848486248,93.5,41.08,78.42,2.0,20.0,BET
Pat Freiermuth,TE,MIN,NE,receiving_yards,SimBook,30.0,-110,94.4326764241747,42.65000848486248,93.5,41.08,78.42,2.0,20.0,BET
Samuel Jefferson,WR,MIN,NE,receiving_yards,SimBook,30.0,-110,94.4326764241747,42.65000848486248,93.5,41.08,78.42,2.0,20.0,BET
Trevor Lawrence,QB,JAX,KC,rushing_yards,DraftKings,16.5,-113,58.881880186044334,32.53747405023814,90.4,37.31,70.33,2.0,20.0,BET
Chase Brown,RB,CIN,CHI,rushing_yards,FanDuel,53.5,-114,83.06911972336673,32.53747405023814,81.8,28.56,53.6,2.0,20.0,BET
Caleb Williams,QB,CHI,CIN,rushing_yards,BetMGM,22.5,-110,49.705882352941174,32.53747405023814,79.8,27.47,52.43,2.0,20.0,BET
Daniel Jones,QB,NYG,NO,rushing_yards,BetMGM,14.5,-118,40.88235294117647,32.53747405023814,79.1,25.0,46.18,2.0,20.0,BET
Devin Singletary,RB,NYG,NO,rushing_yards,BetMGM,22.5,-120,47.69572359263979,32.53747405023814,78.1,23.52,43.12,2.0,20.0,BET
Tony Pollard,RB,TB,SF,rushing_yards,BetRivers,34.5,-115,55.49320788824244,32.53747405023814,74.1,20.57,38.46,2.0,20.0,BET
Drake Maye,QB,NE,MIN,rushing_yards,DraftKings,23.5,-109,40.88235294117647,32.53747405023814,70.3,18.19,34.87,2.0,20.0,BET
Jordan Love,QB,GB,DET,rushing_yards,DraftKings,10.5,-109,27.647058823529413,32.53747405023814,70.1,17.94,34.39,2.0,20.0,BET
J.J. McCarthy,QB,MIN,NE,rushing_yards,DraftKings,17.5,-107,32.05882352941177,32.53747405023814,67.3,15.58,30.14,2.0,20.0,BET
Geno Smith,QB,SEA,PIT,rushing_yards,DraftKings,9.5,-106,23.235294117647058,32.53747405023814,66.4,14.9,28.95,2.0,20.0,BET
Travis Etienne,RB,JAX,KC,rushing_yards,BetMGM,60.5,-115,58.881880186044334,32.53747405023814,48.0,-5.47,-10.23,0.0,0.0,PASS
Jahmyr Gibbs,RB,DET,DEN,rushing_yards,Bovada,75.5,105,69.04371597551739,32.53747405023814,42.1,-6.64,-13.62,0.0,0.0,PASS
Aaron Jones,QB,ATL,BAL,rushing_yards,DraftKings,52.5,-109,45.42845363813982,32.53747405023814,41.4,-10.76,-20.62,0.0,0.0,PASS
J.J. McCarthy,QB,MIN,NE,passing_yards,FanDuel,186.5,-114,170.481072767315,51.1443218301945,37.7,-15.56,-29.22,0.0,0.0,PASS
Geno Smith,QB,SEA,PIT,passing_yards,DraftKings,201.5,-111,175.00800749928152,52.50240224978445,30.7,-21.91,-41.66,0.0,0.0,PASS
Lamar Jackson,QB,BAL,ATL,passing_yards,BetRivers,206.5,-115,175.10413728624297,52.531241185872894,27.5,-25.99,-48.58,0.0,0.0,PASS
Breece Hall,RB,ATL,BAL,rushing_yards,BetRivers,64.5,-118,45.42845363813982,32.53747405023814,27.9,-26.24,-48.48,0.0,0.0,PASS
Trevor Lawrence,QB,JAX,KC,passing_yards,FanDuel,213.5,-114,174.96781044904236,52.49034313471271,23.1,-30.13,-56.55,0.0,0.0,PASS
Caleb Williams,QB,CHI,CIN,passing_yards,BetMGM,219.5,-115,178.3691353968933,53.510740619067995,22.1,-31.38,-58.67,0.0,0.0,PASS
Joshua Allen,QB,BUF,CAR,passing_yards,DraftKings,222.5,-111,179.33994456239068,53.8019833687172,21.1,-31.48,-59.85,0.0,0.0,PASS
Jordan Love,QB,GB,DET,passing_yards,BetMGM,232.5,-115,172.60422948675492,51.78126884602647,12.4,-41.12,-76.87,0.0,0.0,PASS
Daniel Jones,QB,NYG,NO,passing_yards,BetRivers,234.5,-115,170.66836773170732,51.2005103195122,10.6,-42.86,-80.14,0.0,0.0,PASS
Jonathan Taylor,RB,IND,HOU,rushing_yards,FanDuel,90.5,-114,48.14917758353978,32.53747405023814,9.7,-43.62,-81.88,0.0,0.0,PASS
Jared Goff,QB,DET,DEN,passing_yards,BetOnline.ag,252.5,-112,177.5887273162498,53.276618194874935,8.0,-44.85,-84.89,0.0,0.0,PASS
Derrick Henry,RB,BAL,ATL,rushing_yards,DraftKings,87.5,-111,37.007417466540716,32.53747405023814,6.0,-46.57,-88.53,0.0,0.0,PASS
Drake Maye,QB,NE,MIN,passing_yards,BetRivers,249.5,-117,170.64495586115828,51.19348675834748,6.2,-47.74,-88.55,0.0,0.0,PASS
Patrick Mahomes,QB,KC,JAX,passing_yards,BetOnline.ag,272.5,-112,173.82375025458487,52.14712507637546,2.9,-49.91,-94.47,0.0,0.0,PASS
